Word,Amount
enron,87725
power,59917
said,46101
energy,42402
california,41138
would,37065
state,35928
market,26527
electricity,24916
new,24684
ees,24399
ect,23997
company,22266
gas,21255
pm,19343
also,18259
utilities,17430
price,17052
may,16807
could,16049
please,15867
prices,15704
e,15522
one,14713
davis,14428
j,14358
steven,13302
time,12774
business,12740
last,12352
year,12189
ferc,12177
companies,12049
information,11852
meeting,11820
utility,11613
customers,11545
commission,11407
bill,11273
two,11254
attached,11094
edison,10791
get,10722
pg,10634
million,10583
need,10417
billion,10287
electric,10279
steve,10019
report,10002
us,9933
rate,9873
mark,9842
week,9815
plan,9699
jeff,9583
public,9508
transmission,9499
plants,9489
like,9478
group,9428
make,9059
know,8903
next,8773
see,8707
governor,8588
percent,8538
first,8412
generation,8402
much,8341
call,8316
san,8294
committee,8277
costs,8204
http,8164
today,8163
jones,8034
government,8030
issues,7985
rates,7966
use,7950
federal,7884
richard,7804
president,7774
system,7697
take,7669
crisis,7598
markets,7583
supply,7557
order,7536
years,7531
dow,7517
demand,7494
generators,7488
john,7354
summer,7304
think,7089
plant,7074
many,7002
wholesale,7000
pay,6999
thanks,6927
staff,6897
issue,6852
project,6825
still,6773
work,6764
iso,6685
day,6672
natural,6655
service,6613
deal,6592
going,6591
provide,6554
communications,6550
times,6541
people,6471
financial,6460
made,6457
since,6405
let,6401
number,6396
cost,6390
regulatory,6298
even,6271
news,6257
well,6193
message,6190
industry,6185
help,6150
sent,6136
back,5973
per,5964
contracts,5948
high,5937
james,5884
joe,5818
however,5813
go,5781
trading,5762
office,5712
want,5710
copyright,5697
bush,5596
good,5587
support,5562
services,5558
increase,5554
process,5542
senate,5524
three,5510
including,5510
say,5504
deregulation,5413
questions,5356
way,5353
forward,5346
working,5314
consumers,5283
following,5281
southern,5247
capacity,5236
comments,5190
officials,5173
houston,5137
monday,5118
part,5117
money,5103
review,5029
several,5028
current,5025
draft,4989
end,4965
bankruptcy,4951
sell,4935
transactions,4930
whether,4900
states,4900
conference,4890
york,4868
says,4803
board,4747
proposed,4696
executive,4693
ken,4689
chairman,4685
bills,4673
access,4643
buy,4636
press,4623
management,4615
asked,4609
agreement,4601
set,4585
puc,4574
folder,4558
must,4524
david,4505
policy,4481
might,4472
available,4472
based,4469
lay,4467
department,4466
already,4451
continue,4413
enronxgate,4410
proposal,4407
kean,4403
rights,4400
stock,4380
value,4374
contact,4367
wednesday,4364
months,4353
find,4349
best,4346
expected,4335
credit,4310
friday,4292
date,4273
due,4266
program,4253
problem,4247
grid,4238
list,4209
general,4197
april,4184
house,4167
tuesday,4161
blackouts,4151
risk,4147
without,4135
water,4123
likely,4116
washington,4113
changes,4104
administration,4091
possible,4067
discuss,4055
within,4047
another,4032
give,4027
synchronizing,4024
development,4012
action,4012
thursday,4009
c,3995
law,3992
director,3977
problems,3974
tax,3971
put,3966
pacific,3965
india,3961
come,3940
needs,3933
members,3905
include,3900
legislation,3898
paul,3893
gov,3892
less,3885
meet,3878
keep,3856
month,3852
contract,3845
mike,3840
email,3827
environmental,3826
exchange,3822
chief,3805
long,3786
jim,3784
diego,3751
