Word,Amount
kay,46488
enron,36682
ect,27724
pm,24185
agreement,22931
please,21219
message,16471
would,12857
thanks,12263
sent,11969
may,11909
ge,11078
know,9742
mann,9581
need,9360
attached,9056
information,8711
call,8626
ben,8619
contract,8617
letter,8084
get,8015
draft,7254
john,6427
copy,6334
also,6182
enronxgate,6063
intended,6016
one,6008
comments,5970
let,5908
time,5884
see,5721
review,5700
new,5674
received,5603
ena,5513
turbine,5298
like,5281
purchase,5274
could,5074
form,5040
energy,5009
changes,4985
think,4980
power,4898
fax,4864
change,4752
documents,4736
us,4704
want,4624
llc,4498
ca,4497
option,4469
mailto,4422
email,4398
confidential,4360
today,4351
project,4221
use,4207
version,4062
notice,3962
order,3958
development,3946
chris,3879
delete,3856
section,3819
deal,3781
privileged,3732
last,3671
questions,3634
work,3621
error,3613
meeting,3550
date,3535
document,3519
ccampbell,3494
send,3493
copies,3482
kathleen,3442
make,3432
sender,3418
entity,3385
lisa,3374
houston,3372
phone,3342
tomorrow,3340
agreements,3320
hi,3300
david,3274
immediately,3274
gas,3267
legal,3252
file,3241
carolyn,3233
revised,3209
communication,3188
notify,3163
thank,3160
contact,3137
assignment,3127
go,3099
facility,3088
language,3078
week,3068
jacoby,3030
first,3022
exhibit,3022
well,3015
america,2975
discuss,2966
contain,2960
recipient,2957
going,2948
two,2929
good,2919
part,2917
confidentiality,2890
monday,2884
since,2884
conference,2857
scott,2849
made,2848
back,2842
following,2842
friday,2829
suzanne,2811
payment,2809
named,2806
sheila,2779
issues,2774
wednesday,2768
next,2724
addressed,2720
tuesday,2694
regards,2679
read,2671
forward,2648
north,2638
shall,2638
exhibits,2633
take,2628
otherwise,2623
fred,2593
name,2590
thursday,2585
legally,2553
reagan,2553
find,2516
transaction,2512
michael,2494
business,2456
campbell,2448
schedule,2386
individual,2386
original,2380
lawyer,2367
company,2359
print,2354
mark,2344
address,2337
abb,2316
note,2292
escrow,2270
lee,2248
help,2239
still,2231
give,2229
peter,2215
disclosure,2209
amount,2195
provide,2191
final,2189
authorized,2189
enovate,2177
available,2177
proposed,2176
city,2174
behalf,2167
look,2158
closing,2153
number,2151
equipment,2130
services,2129
consent,2123
sure,2122
unit,2121
right,2120
j,2111
carlos,2097
office,2083
per,2080
regarding,2073
day,2073
greg,2069
delivery,2060
ii,2044
said,2034
paul,2022
working,2019
request,2013
list,2000
bill,1980
f,1974
site,1964
gregg,1964
b,1955
price,1949
exempt,1938
person,1926
proprietary,1924
believe,1923
peoples,1914
fw,1911
signed,1910
corp,1905
retain,1897
addressee,1893
terms,1885
issue,1884
http,1875
way,1873
roseann,1857
steve,1851
april,1846
heather,1842
contracts,1840
set,1819
cost,1806
turbines,1801
sign,1791
system,1785
e,1785
june,1778
exclusively,1776
disseminate,1767
term,1763
sheet,1753
party,1745
current,1740
upon,1735
check,1731
prohibited,1723
plant,1716
point,1704
asked,1704
commercial,1703
counsel,1699
days,1690
process,1689
morning,1684
execution,1681
stuff,1679
group,1668
purchaser,1657
team,1655
prior,1652
including,1649
fuel,1642
clean,1641
l,1628
something,1628
yet,1616
without,1614
jeff,1613
thompson,1608
soon,1607
executed,1603
risk,1602
king,1602
thought,1598
required,1596
fyi,1593
mdea,1593
include,1569
herman,1567
discussed,1561
salmon,1555
credit,1550
additional,1534
interest,1531
hope,1531
seller,1519
put,1516
approval,1511
getting,1509
dissemination,1497
needs,1495
anything,1480
might,1474
much,1472
keffer,1466
however,1458
jkeffer,1455
advise,1454
provided,1452
signature,1452
afternoon,1445
units,1426
possible,1420
performance,1416
texas,1410
midway,1407
latest,1401
end,1397
kent,1395
transmission,1394
spalding,1389
liability,1388
vepco,1382
place,1375
distribution,1362
generation,1355
status,1350
mike,1348
year,1343
management,1339
ready,1335
due,1333
necessary,1330
c,1322
certificate,1318
material,1316
delta,1314
costs,1313
sale,1311
ps,1308
used,1307
r,1302
northwestern,1302
november,1299
blackline,1298
talk,1290
adams,1278
service,1273
parties,1272
tax,1270
ok,1267
included,1265
confirm,1264
nmann,1263
policy,1261
another,1255
blue,1254
g,1250
austin,1249
march,1246
done,1242
specific,1241
rorschach,1241
come,1238
must,1231
people,1222
york,1220
etc,1218
construction,1216
based,1215
later,1209
changed,1208
loi,1207
lv,1206
elizabeth,1204
whether,1195
property,1194
westinghouse,1192
co,1188
jeffrey,1187
best,1186
street,1178
pay,1177
probably,1174
generator,1173
better,1171
either,1169
market,1168
items,1168
got,1163
law,1160
carnahan,1156
plan,1149
great,1142
around,1139
structure,1137
dog,1132
fee,1129
brian,1119
tom,1118
rose,1117
agent,1116
really,1113
opinion,1106
neil,1101
page,1100
add,1095
land,1092
agreed,1091
wanted,1090
smith,1083
requested,1082
addition,1081
finance,1078
looking,1075
guaranty,1074
problem,1072
december,1071
rights,1070
given,1068
interconnection,1066
comment,1064
second,1062
able,1062
free,1062
complete,1062
reference,1061
yesterday,1060
mitch,1058
long,1056
assumption,1054
mail,1051
appropriate,1047
case,1046
marked,1045
together,1045
told,1042
feel,1042
understand,1041
things,1039
strictly,1038
basis,1038
accounting,1037
taking,1037
prepared,1036
dale,1033
question,1032
reflect,1026
scheduled,1025
south,1024
comparison,1022
isabel,1022
ann,1020
ask,1017
docs,1014
close,1013
general,1012
epc,1012
karen,1010
maybe,1010
cell,1009
agree,1008
room,1005
master,1005
invoice,1005
within,1002
bob,1002
sole,1001
stephen,1001
county,1001
outside,1000
projects,1000
someone,998
added,993
transactions,993
home,993
action,993
scope,990
johnson,979
interconnect,977
stuart,975
staff,974
left,971
fine,970
attachments,963
connection,962
earlier,955
entities,955
plus,954
versions,954
else,949
january,949
intergen,948
booth,947
already,941
christi,937
revisions,931
state,929
guarantee,928
yes,919
respect,917
obligations,914
purposes,912
member,912
guys,911
ckm,911
standard,910
million,909
transformer,903
looks,901
reviewed,901
hereby,900
paid,897
